state,answer_set,facility_name,gender,count,n_respondents,pct_of_respondents
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Man,700,881,0.7945516458569807
IL,all-surveys,"Cook County, IL",Man,480,569,0.843585237258348
CA,all-surveys,"Santa Clara County, CA",Man,280,359,0.7799442896935933
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Man,233,298,0.7818791946308725
OH,all-surveys,"Cuyahoga County Justice Center, OH",Man,205,236,0.8686440677966102
CA,all-surveys,"Fresno County, CA",Man,201,224,0.8973214285714286
TX,all-surveys,"Travis County Jail, TX",Man,181,205,0.8829268292682927
AZ,all-surveys,"Pima County Jail, AZ",Man,178,210,0.8476190476190476
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",Man,156,182,0.8571428571428571
CA,all-surveys,"Stanislaus County, CA",Man,148,174,0.8505747126436781
IL,all-surveys,"Winnebago County, IL",Man,143,156,0.9166666666666666
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Woman,142,881,0.1611804767309875
CO,all-surveys,"Denver County Jail, CO",Man,129,150,0.86
TX,all-surveys,"MTC: Giles Dalby, TX",Man,128,131,0.9770992366412213
CA,all-surveys,"Orange County, CA - Theo Lacy",Man,126,136,0.9264705882352942
NY,all-surveys,"Pasco County Corrections, FL",Man,118,148,0.7972972972972973
PA,all-surveys,"Dauphin County Jail, PA",Man,104,119,0.8739495798319328
CO,all-surveys,"Weld County, CO",Man,102,134,0.7611940298507462
TN,all-surveys,"Davidson County Detention Center, TN",Man,102,119,0.8571428571428571
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Man,98,112,0.875
PA,all-surveys,"Lackawana County, PA",Man,93,112,0.8303571428571429
WV,all-surveys,WV DCR North Central Regional Jail,Man,90,115,0.782608695652174
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Man,88,109,0.8073394495412844
FL,all-surveys,"Leon County Jail, FL",Man,84,97,0.865979381443299
CA,all-surveys,"Ventura County Sheriff's Office, CA",Man,83,101,0.8217821782178217
WA,all-surveys,"Yakima County, WA",Man,83,111,0.7477477477477478
CA,all-surveys,"Orange County, CA - Central Jail Complex",Man,81,105,0.7714285714285715
NC,all-surveys,"Cumberland County, NC",Man,79,86,0.9186046511627907
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Man,77,90,0.8555555555555555
MI,all-surveys,"Kent County, MI ",Man,76,100,0.76
NY,all-surveys,"Albany County Correctional Facility, NY",Man,76,88,0.8636363636363636
CA,all-surveys,"San Joaquin County Jail, CA",Man,74,96,0.7708333333333334
MO,all-surveys,"St. Louis County Jail, MO",Man,73,94,0.776595744680851
NY,all-surveys,"Monroe County Sheriff's Department, NY",Man,73,87,0.8390804597701149
WA,all-surveys,"Spokane County Jail, WA",Man,73,83,0.8795180722891566
DC,all-surveys,DC DOC: Central Detention Facility,Man,71,81,0.8765432098765432
CO,all-surveys,"Mesa County, CO",Man,70,93,0.7526881720430108
PA,all-surveys,"Montgomery County Correctional Facility, PA",Man,70,93,0.7526881720430108
PA,all-surveys,"Westmoreland County, PA",Man,70,89,0.7865168539325843
