state,answer_set,facility_name,skills_for_politics,count,n_respondents,pct_of_respondents
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Agree,224,491,0.45621181262729127
IL,all-surveys,"Cook County, IL",Agree,181,409,0.44254278728606355
CA,all-surveys,"Santa Clara County, CA",Agree,162,344,0.47093023255813954
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Strongly agree,122,491,0.2484725050916497
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Agree,102,226,0.45132743362831856
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Disagree,92,491,0.18737270875763748
IL,all-surveys,"Cook County, IL",Strongly agree,89,409,0.2176039119804401
CA,all-surveys,"Fresno County, CA",Agree,76,158,0.4810126582278481
CA,all-surveys,"Santa Clara County, CA",Strongly agree,75,344,0.2180232558139535
CA,all-surveys,"Santa Clara County, CA",Disagree,69,344,0.2005813953488372
IL,all-surveys,"Cook County, IL",Disagree,68,409,0.16625916870415647
TX,all-surveys,"Travis County Jail, TX",Agree,68,160,0.425
OH,all-surveys,"Cuyahoga County Justice Center, OH",Agree,67,151,0.44370860927152317
CA,all-surveys,"Stanislaus County, CA",Agree,60,139,0.4316546762589928
AZ,all-surveys,"Pima County Jail, AZ",Agree,58,146,0.3972602739726027
IL,all-surveys,"Cook County, IL",Strongly disagree,55,409,0.13447432762836187
CO,all-surveys,"Denver County Jail, CO",Agree,54,102,0.5294117647058824
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Strongly agree,53,226,0.2345132743362832
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Strongly disagree,50,491,0.10183299389002037
IL,all-surveys,"Winnebago County, IL",Agree,49,99,0.494949494949495
TX,all-surveys,"Travis County Jail, TX",Strongly agree,44,160,0.275
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Disagree,43,226,0.1902654867256637
TX,all-surveys,"MTC: Giles Dalby, TX",Agree,43,91,0.4725274725274725
CA,all-surveys,"Orange County, CA - Theo Lacy",Agree,41,91,0.45054945054945056
PA,all-surveys,"Dauphin County Jail, PA",Agree,40,83,0.4819277108433735
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Agree,38,76,0.5
CA,all-surveys,"San Joaquin County Jail, CA",Agree,37,76,0.4868421052631579
OH,all-surveys,"Cuyahoga County Justice Center, OH",Disagree,36,151,0.23841059602649006
OH,all-surveys,"Mahoning County Justice Center, OH",Agree,36,78,0.46153846153846156
PA,all-surveys,"Lehigh County, PA",Agree,36,58,0.6206896551724138
AZ,all-surveys,"Pima County Jail, AZ",Strongly agree,34,146,0.2328767123287671
CO,all-surveys,"Weld County, CO",Agree,34,89,0.38202247191011235
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Agree,34,81,0.41975308641975306
WV,all-surveys,WV DCR North Central Regional Jail,Agree,34,73,0.4657534246575342
CA,all-surveys,"Santa Clara County, CA",Strongly disagree,33,344,0.09593023255813954
MI,all-surveys,"Kent County, MI ",Agree,33,68,0.4852941176470588
OH,all-surveys,"Cuyahoga County Justice Center, OH",Strongly agree,33,151,0.2185430463576159
PA,all-surveys,"Lackawana County, PA",Agree,33,82,0.4024390243902439
WA,all-surveys,"Yakima County, WA",Agree,33,80,0.4125
CA,all-surveys,"Fresno County, CA",Strongly agree,32,158,0.20253164556962025
CA,all-surveys,"Ventura County Sheriff's Office, CA",Agree,32,72,0.4444444444444444
CA,all-surveys,"Fresno County, CA",Disagree,30,158,0.189873417721519
CA,all-surveys,"Stanislaus County, CA",Strongly agree,30,139,0.2158273381294964
MA,all-surveys,"Essex County Middleton HOC, MA",Agree,30,59,0.5084745762711864
TX,all-surveys,"Travis County Jail, TX",Disagree,30,160,0.1875
MO,all-surveys,"St. Louis County Jail, MO",Agree,29,73,0.3972602739726027
NY,all-surveys,"Monroe County Sheriff's Department, NY",Agree,29,64,0.453125
CO,all-surveys,"Pueblo County, CO",Agree,28,63,0.4444444444444444
MA,all-surveys,"Bristol County House of Correction, MA",Agree,28,46,0.6086956521739131
MA,all-surveys,"Middlesex County House of Corrections, MA",Agree,28,54,0.5185185185185185
MI,all-surveys,"Macomb County, MI",Agree,28,52,0.5384615384615384
CA,all-surveys,"Orange County, CA - Central Jail Complex",Agree,27,67,0.40298507462686567
NY,all-surveys,"Albany County Correctional Facility, NY",Agree,27,71,0.38028169014084506
VA,all-surveys,"Chesapeake Correctional Center, VA",Agree,27,61,0.4426229508196721
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Strongly agree,27,81,0.3333333333333333
AZ,all-surveys,"Pima County Jail, AZ",Disagree,26,146,0.1780821917808219
AZ,all-surveys,"Pima County Jail, AZ",Strongly disagree,26,146,0.1780821917808219
CA,all-surveys,"Stanislaus County, CA",Disagree,26,139,0.18705035971223022
PA,all-surveys,"Westmoreland County, PA",Agree,26,56,0.4642857142857143
WA,all-surveys,"Yakima County, WA",Disagree,26,80,0.325
