state,answer_set,facility_name,us_ready_elect_woman_president,count,n_respondents,pct_of_respondents
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Yes,323,596,0.5419463087248322
IL,all-surveys,"Cook County, IL",Yes,153,322,0.4751552795031056
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",No,144,596,0.24161073825503357
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Not sure,125,596,0.20973154362416108
IL,all-surveys,"Cook County, IL",No,86,322,0.2670807453416149
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",No,77,183,0.4207650273224044
IL,all-surveys,"Cook County, IL",Not sure,77,322,0.2391304347826087
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",Yes,73,183,0.3989071038251366
CA,all-surveys,"Fresno County, CA",Yes,69,132,0.5227272727272727
NY,all-surveys,"Pasco County Corrections, FL",Yes,60,147,0.40816326530612246
TN,all-surveys,"Davidson County Detention Center, TN",Yes,60,120,0.5
AZ,all-surveys,"Pima County Jail, AZ",Yes,58,110,0.5272727272727272
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Yes,58,117,0.49572649572649574
NY,all-surveys,"Pasco County Corrections, FL",No,55,147,0.3741496598639456
OH,all-surveys,"Cuyahoga County Justice Center, OH",Yes,55,124,0.4435483870967742
FL,all-surveys,"Leon County Jail, FL",Yes,47,95,0.49473684210526314
CO,all-surveys,"Weld County, CO",Yes,45,82,0.5487804878048781
IL,all-surveys,"Winnebago County, IL",No,44,107,0.411214953271028
IL,all-surveys,"Winnebago County, IL",Yes,44,107,0.411214953271028
TN,all-surveys,"Sullivan County Jail, TN",Yes,43,88,0.48863636363636365
FL,all-surveys,"Pinellas County Jail, FL",Yes,42,88,0.4772727272727273
TX,all-surveys,"Travis County Jail, TX",Yes,42,88,0.4772727272727273
CA,all-surveys,"Fresno County, CA",No,40,132,0.30303030303030304
CA,all-surveys,"Orange County, CA - Theo Lacy",Yes,39,73,0.5342465753424658
WI,all-surveys,"Brown County Jail, WI",Yes,38,70,0.5428571428571428
