state,answer_set,facility_name,who_vote_for,count,n_respondents,pct_of_respondents
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Donald J. Trump,261,508,0.5137795275590551
IL,all-surveys,"Cook County, IL",Donald J. Trump,241,421,0.5724465558194775
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Donald J. Trump,140,233,0.6008583690987125
CA,all-surveys,"Santa Clara County, CA",Donald J. Trump,138,352,0.39204545454545453
OH,all-surveys,"Cuyahoga County Justice Center, OH",Donald J. Trump,91,153,0.5947712418300654
TX,all-surveys,"Travis County Jail, TX",Donald J. Trump,90,166,0.5421686746987951
CA,all-surveys,"Fresno County, CA",Donald J. Trump,85,167,0.5089820359281437
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Joe Biden,83,508,0.16338582677165353
CA,all-surveys,"Stanislaus County, CA",Donald J. Trump,83,146,0.5684931506849316
CA,all-surveys,"Santa Clara County, CA",Joe Biden,82,352,0.23295454545454544
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Wouldn't vote,69,508,0.13582677165354332
AZ,all-surveys,"Pima County Jail, AZ",Donald J. Trump,66,147,0.4489795918367347
CO,all-surveys,"Denver County Jail, CO",Donald J. Trump,63,104,0.6057692307692307
IL,all-surveys,"Winnebago County, IL",Donald J. Trump,61,108,0.5648148148148148
IL,all-surveys,"Cook County, IL",Joe Biden,58,421,0.1377672209026128
TX,all-surveys,"MTC: Giles Dalby, TX",Donald J. Trump,56,89,0.6292134831460674
PA,all-surveys,"Dauphin County Jail, PA",Donald J. Trump,55,84,0.6547619047619048
PA,all-surveys,"Lackawana County, PA",Donald J. Trump,53,86,0.6162790697674418
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Third-Party Candidate,52,508,0.10236220472440945
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Donald J. Trump,52,82,0.6341463414634146
OH,all-surveys,"Mahoning County Justice Center, OH",Donald J. Trump,47,78,0.6025641025641025
WV,all-surveys,WV DCR North Central Regional Jail,Donald J. Trump,47,75,0.6266666666666667
CA,all-surveys,"San Joaquin County Jail, CA",Donald J. Trump,46,79,0.5822784810126582
CA,all-surveys,"Santa Clara County, CA",Third-Party Candidate,46,352,0.13068181818181818
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Donald J. Trump,46,76,0.6052631578947368
WA,all-surveys,"Yakima County, WA",Donald J. Trump,46,86,0.5348837209302325
CA,all-surveys,"Orange County, CA - Theo Lacy",Donald J. Trump,45,92,0.4891304347826087
CO,all-surveys,"Weld County, CO",Donald J. Trump,45,92,0.4891304347826087
WA,all-surveys,"Spokane County Jail, WA",Donald J. Trump,45,74,0.6081081081081081
IL,all-surveys,"Cook County, IL",Don't know,44,421,0.10451306413301663
CA,all-surveys,"Santa Clara County, CA",Don't know,43,352,0.12215909090909091
MI,all-surveys,"Kent County, MI ",Donald J. Trump,41,71,0.5774647887323944
NC,all-surveys,"Cumberland County, NC",Donald J. Trump,41,72,0.5694444444444444
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Don't know,40,508,0.07874015748031496
IN,all-surveys,"Hamilton County Main Jail, IN",Donald J. Trump,40,64,0.625
