state,answer_set,facility_name,who_vote_for_supplement,count,n_respondents,pct_of_respondents
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Donald J. Trump,281,600,0.4683333333333333
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Kamala Harris,183,600,0.305
IL,all-surveys,"Cook County, IL",Donald J. Trump,145,325,0.4461538461538462
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",Donald J. Trump,113,183,0.6174863387978142
IL,all-surveys,"Cook County, IL",Kamala Harris,111,325,0.3415384615384615
NY,all-surveys,"Pasco County Corrections, FL",Donald J. Trump,85,147,0.5782312925170068
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Don't know,68,600,0.11333333333333333
OH,all-surveys,"Cuyahoga County Justice Center, OH",Donald J. Trump,67,125,0.536
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Donald J. Trump,63,114,0.5526315789473685
IL,all-surveys,"Winnebago County, IL",Donald J. Trump,63,109,0.5779816513761468
TN,all-surveys,"Sullivan County Jail, TN",Donald J. Trump,59,88,0.6704545454545454
FL,all-surveys,"Pinellas County Jail, FL",Donald J. Trump,54,89,0.6067415730337079
TN,all-surveys,"Davidson County Detention Center, TN",Donald J. Trump,54,120,0.45
CA,all-surveys,"Fresno County, CA",Donald J. Trump,52,130,0.4
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ",Wouldn't vote,48,600,0.08
AZ,all-surveys,"Pima County Jail, AZ",Donald J. Trump,48,111,0.43243243243243246
PA,all-surveys,"Dauphin County Jail, PA",Donald J. Trump,48,76,0.631578947368421
WV,all-surveys,WV DCR North Central Regional Jail,Donald J. Trump,47,66,0.7121212121212122
CA,all-surveys,"Fresno County, CA",Kamala Harris,46,130,0.35384615384615387
TX,all-surveys,"Travis County Jail, TX",Donald J. Trump,46,90,0.5111111111111111
FL,all-surveys,"Okaloosa County Department of Corrections, FL",Donald J. Trump,42,60,0.7
TN,all-surveys,"Davidson County Detention Center, TN",Kamala Harris,42,120,0.35
VA,all-surveys,"Rappahannock Regional Jail, VA",Donald J. Trump,42,76,0.5526315789473685
AZ,all-surveys,"Pima County Jail, AZ",Kamala Harris,37,111,0.3333333333333333
CA,all-surveys,"Orange County, CA - Central Jail Complex",Donald J. Trump,37,67,0.5522388059701493
FL,all-surveys,"Leon County Jail, FL",Donald J. Trump,37,96,0.3854166666666667
PA,all-surveys,"Westmoreland County, PA",Donald J. Trump,37,62,0.5967741935483871
CA,all-surveys,"Orange County, CA - Theo Lacy",Donald J. Trump,36,76,0.47368421052631576
CO,all-surveys,"Denver County Jail, CO",Donald J. Trump,36,73,0.4931506849315068
WI,all-surveys,"Brown County Jail, WI",Donald J. Trump,36,73,0.4931506849315068
CO,all-surveys,"Weld County, CO",Donald J. Trump,35,83,0.42168674698795183
TX,all-surveys,"MTC: Giles Dalby, TX",Donald J. Trump,35,62,0.5645161290322581
DC,all-surveys,DC DOC: Central Detention Facility,Donald J. Trump,34,74,0.4594594594594595
IN,all-surveys,"Elkhart County Jail, IN",Donald J. Trump,34,57,0.5964912280701754
NJ,all-surveys,"Essex County Correctional Facility, NJ",Kamala Harris,34,68,0.5
OH,all-surveys,"Cuyahoga County Justice Center, OH",Kamala Harris,34,125,0.272
PA,all-surveys,"Lackawana County, PA",Donald J. Trump,34,67,0.5074626865671642
CA,all-surveys,"Madera County, CA",Donald J. Trump,33,61,0.5409836065573771
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",Kamala Harris,33,183,0.18032786885245902
FL,all-surveys,"Leon County Jail, FL",Kamala Harris,33,96,0.34375
IL,all-surveys,"Cook County, IL",Don't know,33,325,0.10153846153846154
IN,all-surveys,"Hamilton County Main Jail, IN",Donald J. Trump,33,63,0.5238095238095238
NY,all-surveys,"New York City Department of Correction, NY (NYC DOC)",Donald J. Trump,33,71,0.4647887323943662
WV,all-surveys,WV DCR Tygart Valley Regional Jail,Donald J. Trump,32,35,0.9142857142857143
SC,all-surveys,"Richland County Glenn Detention Center, SC",Donald J. Trump,31,46,0.6739130434782609
CA,all-surveys,"Stanislaus County, CA",Donald J. Trump,30,54,0.5555555555555556
CO,all-surveys,"Mesa County, CO",Donald J. Trump,30,55,0.5454545454545454
CO,all-surveys,"Weld County, CO",Kamala Harris,29,83,0.3493975903614458
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Donald J. Trump,29,57,0.5087719298245614
PA,all-surveys,"Lancaster County Prison, PA",Donald J. Trump,29,58,0.5
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Donald J. Trump,29,58,0.5
OH,all-surveys,Corrections Center of NW Ohio,Donald J. Trump,28,45,0.6222222222222222
PA,all-surveys,"Montgomery County Correctional Facility, PA",Donald J. Trump,28,57,0.49122807017543857
CA,all-surveys,"Orange County, CA - Theo Lacy",Kamala Harris,26,76,0.34210526315789475
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Kamala Harris,26,114,0.22807017543859648
NY,all-surveys,"New York City Department of Correction, NY (NYC DOC)",Kamala Harris,26,71,0.36619718309859156
TX,all-surveys,"Guadalupe County, TX",Donald J. Trump,26,42,0.6190476190476191
TX,all-surveys,"Potter County Detention, TX",Donald J. Trump,26,47,0.5531914893617021
TX,all-surveys,"Travis County Jail, TX",Kamala Harris,26,90,0.28888888888888886
FL,all-surveys,"Bay County, FL",Donald J. Trump,25,34,0.7352941176470589
IL,all-surveys,"Winnebago County, IL",Kamala Harris,25,109,0.22935779816513763
MI,all-surveys,"Kent County, MI ",Donald J. Trump,25,56,0.44642857142857145
VA,all-surveys,"Pamunkey Regional Jail, VA",Donald J. Trump,25,36,0.6944444444444444
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Donald J. Trump,24,47,0.5106382978723404
NE,all-surveys,"Lancaster County, NE",Donald J. Trump,24,47,0.5106382978723404
TN,all-surveys,"Hamilton County, TN",Donald J. Trump,24,46,0.5217391304347826
WA,all-surveys,"Yakima County, WA",Donald J. Trump,24,42,0.5714285714285714
WI,all-surveys,"Brown County Jail, WI",Kamala Harris,24,73,0.3287671232876712
CA,all-surveys,"Ventura County Sheriff's Office, CA",Donald J. Trump,23,53,0.4339622641509434
DC,all-surveys,DC DOC: Central Detention Facility,Kamala Harris,23,74,0.3108108108108108
PA,all-surveys,"Washington County, PA ",Donald J. Trump,23,38,0.6052631578947368
WA,all-surveys,"King County Adult Detention, WA",Donald J. Trump,23,57,0.40350877192982454
CO,all-surveys,"Jefferson County Detention Facility, CO",Donald J. Trump,22,41,0.5365853658536586
CO,all-surveys,"Pueblo County, CO",Donald J. Trump,22,53,0.41509433962264153
FL,all-surveys,Santa Rosa County FL,Donald J. Trump,22,32,0.6875
IN,all-surveys,"La Port County Jail, IN",Donald J. Trump,22,38,0.5789473684210527
PA,all-surveys,"Lehigh County, PA",Donald J. Trump,22,36,0.6111111111111112
TX,all-surveys,"MTC: Giles Dalby, TX",Kamala Harris,22,62,0.3548387096774194
TX,all-surveys,"McLennan County, TX",Donald J. Trump,22,49,0.4489795918367347
WV,all-surveys,WV DCR Central Regional Jail,Donald J. Trump,22,31,0.7096774193548387
MO,all-surveys,"Cape Girardeau County Jail, MO",Donald J. Trump,21,42,0.5
NY,all-surveys,"Pasco County Corrections, FL",Kamala Harris,21,147,0.14285714285714285
PA,all-surveys,"Allegheny County Jail, PA",Donald J. Trump,21,40,0.525
PA,all-surveys,"Lebanon County, PA",Donald J. Trump,21,34,0.6176470588235294
SC,all-surveys,"Pickens County Detention Facility, SC",Donald J. Trump,21,30,0.7
WV,all-surveys,WV DCR Southwestern Regional Jail,Donald J. Trump,21,24,0.875
FL,all-surveys,"Citrus County Detention Facility, FL",Donald J. Trump,20,30,0.6666666666666666
PA,all-surveys,"Berks County Jail, PA",Donald J. Trump,20,34,0.5882352941176471
PA,all-surveys,"Cambria County Prison, PA",Donald J. Trump,20,34,0.5882352941176471
PA,all-surveys,"Lackawana County, PA",Kamala Harris,20,67,0.29850746268656714
PA,all-surveys,"Montgomery County Correctional Facility, PA",Kamala Harris,20,57,0.3508771929824561
AL,all-surveys,"Etowah County Jail, AL",Donald J. Trump,19,28,0.6785714285714286
CA,all-surveys,"San Joaquin County Jail, CA",Donald J. Trump,19,43,0.4418604651162791
FL,all-surveys,"St. Lucie County Jail, FL",Donald J. Trump,19,27,0.7037037037037037
MA,all-surveys,"Middlesex County House of Corrections, MA",Donald J. Trump,19,28,0.6785714285714286
MI,all-surveys,"Kent County, MI ",Kamala Harris,19,56,0.3392857142857143
NJ,all-surveys,"Essex County Correctional Facility, NJ",Donald J. Trump,19,68,0.27941176470588236
NY,all-surveys,"Albany County Correctional Facility, NY",Donald J. Trump,19,45,0.4222222222222222
NY,all-surveys,"Monroe County Sheriff's Department, NY",Donald J. Trump,19,41,0.4634146341463415
